
="",="(1)"
="",="PriceSynchronicity_3m_w"

="Treatment_Q3_2016",="-0.009"
="",="(0.012)"

="Treatment_Q4_2016",="0.024"
="",="(0.015)"

="Treatment_Q1_2017",="-0.010"
="",="(0.009)"

="Treatment_Q2_2017",="0.013"
="",="(0.015)"

="Treatment_Q4_2017",="0.023***"
="",="(0.004)"

="Treatment_Q1_2018",="0.049***"
="",="(0.016)"

="Treatment_Q2_2018",="0.041***"
="",="(0.013)"

="Treatment_Q3_2018",="-0.008"
="",="(0.011)"

="Treatment_Q4_2018",="0.137***"
="",="(0.029)"

="N",="2000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
