symbol,fundingTime,fundingRate,markPrice
XAGUSDT,2026-01-18 08:00:00.001000+00:00,5e-05,90.15407053
XAGUSDT,2026-01-18 12:00:00.001000+00:00,0.00030036,90.30704017
XAGUSDT,2026-01-18 16:00:00.001000+00:00,0.00108382,90.36467099
XAGUSDT,2026-01-18 20:00:00.001000+00:00,0.00160459,90.51844519
XAGUSDT,2026-01-19 00:00:00.001000+00:00,0.00177897,93.03
XAGUSDT,2026-01-19 04:00:00.001000+00:00,0.00013621,93.14
XAGUSDT,2026-01-19 08:00:00.001000+00:00,6.509e-05,93.28
XAGUSDT,2026-01-19 12:00:00.001000+00:00,8.876e-05,93.06
XAGUSDT,2026-01-19 16:00:00.001000+00:00,0.00021211,93.96
XAGUSDT,2026-01-19 20:00:00.002000+00:00,0.00029977,94.43708549
XAGUSDT,2026-01-20 00:00:00.001000+00:00,0.0005694,93.76554022
XAGUSDT,2026-01-20 04:00:00.001000+00:00,0.00027336,93.4
XAGUSDT,2026-01-20 08:00:00.002000+00:00,0.0001694,94.36879796
XAGUSDT,2026-01-20 12:00:00.001000+00:00,0.00017831,95.7833729
XAGUSDT,2026-01-20 16:00:00.001000+00:00,0.00026796,94.04393462
XAGUSDT,2026-01-20 20:00:00.002000+00:00,7.636e-05,94.53
XAGUSDT,2026-01-21 00:00:00.001000+00:00,5e-05,94.94
XAGUSDT,2026-01-21 04:00:00.001000+00:00,0.00050329,94.04165699
XAGUSDT,2026-01-21 08:00:00.001000+00:00,5e-05,94.78
XAGUSDT,2026-01-21 12:00:00.001000+00:00,5e-05,94.83
XAGUSDT,2026-01-21 16:00:00.001000+00:00,0.00010331,93.7139271
XAGUSDT,2026-01-21 20:00:00.001000+00:00,0.00011847,91.39904204
XAGUSDT,2026-01-22 00:00:00.001000+00:00,5e-05,91.08313065
XAGUSDT,2026-01-22 04:00:00.002000+00:00,5e-05,93.44
XAGUSDT,2026-01-22 08:00:00.002000+00:00,5e-05,94.18
XAGUSDT,2026-01-22 12:00:00.001000+00:00,5e-05,93.55507495
XAGUSDT,2026-01-22 16:00:00.001000+00:00,5e-05,95.62
XAGUSDT,2026-01-22 20:00:00.002000+00:00,5e-05,95.9
XAGUSDT,2026-01-23 00:00:00.002000+00:00,5e-05,96.95114944
XAGUSDT,2026-01-23 04:00:00.001000+00:00,5e-05,98.80561367
XAGUSDT,2026-01-23 08:00:00.001000+00:00,5e-05,98.70169189
XAGUSDT,2026-01-23 12:00:00.001000+00:00,8.949e-05,99.11
XAGUSDT,2026-01-23 16:00:00.001000+00:00,0.00029119,100.03
XAGUSDT,2026-01-23 20:00:00.001000+00:00,0.0,101.86232944
XAGUSDT,2026-01-24 00:00:00.001000+00:00,3.923e-05,103.72702961
XAGUSDT,2026-01-24 04:00:00.002000+00:00,0.00018611,103.33020345
XAGUSDT,2026-01-24 08:00:00.001000+00:00,0.00039416,103.41918691
XAGUSDT,2026-01-24 12:00:00.001000+00:00,0.00121208,103.26794216
XAGUSDT,2026-01-24 16:00:00.001000+00:00,0.00065661,103.51833218
XAGUSDT,2026-01-24 20:00:00.001000+00:00,0.00155765,103.6256724
XAGUSDT,2026-01-25 00:00:00.001000+00:00,0.00057388,103.31824242
XAGUSDT,2026-01-25 04:00:00.001000+00:00,0.00145659,103.5940766
XAGUSDT,2026-01-25 08:00:00.001000+00:00,0.00146888,103.53186297
XAGUSDT,2026-01-25 12:00:00.001000+00:00,0.00109814,103.50349824
XAGUSDT,2026-01-25 16:00:00.001000+00:00,0.0011884,103.50290444
XAGUSDT,2026-01-25 20:00:00.001000+00:00,0.00366348,103.01154206
XAGUSDT,2026-01-26 00:00:00.001000+00:00,0.00275566,104.85
XAGUSDT,2026-01-26 04:00:00.002000+00:00,0.00013641,108.25470405
XAGUSDT,2026-01-26 08:00:00.001000+00:00,0.00017374,108.36425032
XAGUSDT,2026-01-26 12:00:00.001000+00:00,0.00029628,109.47929645
